curLapTime,speedX,steer,accel,brake,gear,trackPos,angle,damage,rpm,distRaced
0.32,0.979164,0.0,1.0,0.0,1,0.333918,0.0088374,0.0,942.478,0.0335693
0.34,1.05711,0.0,1.0,0.0,1,0.33391,0.0089299,0.0,942.478,0.0393066
0.36,0.963746,0.0,1.0,0.0,1,0.333902,0.00901907,0.0,942.478,0.045166
0.38,1.04167,0.0,1.0,0.0,1,0.333895,0.00911063,0.0,942.478,0.0509033
0.4,1.30615,0.0,1.0,0.0,1,0.333891,0.00929516,0.0,942.478,0.0574951
0.42,1.61689,0.0,1.0,0.0,1,0.333889,0.00939816,0.0,942.478,0.0661621
0.44,2.00563,0.0,1.0,0.0,1,0.33388,0.00950974,0.0,942.478,0.0766602
0.46,2.3237,0.0,1.0,0.0,1,0.333877,0.00976961,0.0,942.478,0.0892334
0.48,2.62662,0.0,1.0,0.0,1,0.333873,0.00989359,0.0,942.478,0.103638
0.502,3.05603,0.0,0.0,0.0,1,0.333857,0.0101873,0.0,942.478,0.121826
0.522,3.33114,0.0,0.0,0.0,1,0.333833,0.0104057,0.0,942.478,0.140381
0.542,3.70894,0.0,0.0,0.0,1,0.333804,0.0107796,0.0,942.478,0.160889
0.562,4.05064,0.0,0.0,0.0,1,0.333772,0.0110146,0.0,942.478,0.18335
0.582,4.40816,0.0,0.0,0.0,1,0.333736,0.0114028,0.0,942.478,0.207764
0.602,4.73219,0.0,0.0,0.0,1,0.333696,0.0116832,0.0,942.478,0.234131
0.622,5.05301,0.0,0.0,0.0,1,0.333654,0.0122043,0.0,942.478,0.262329
0.642,5.41218,0.0,0.0,0.0,1,0.333608,0.0125429,0.0,942.478,0.292603
0.662,5.75544,0.0,0.0,0.0,1,0.333557,0.013045,0.0,942.478,0.324829
0.682,6.07424,0.0,0.0,0.0,1,0.3335,0.0134355,0.0,942.478,0.358887
0.702,6.42363,0.0,0.0,0.0,1,0.333438,0.013981,0.0,942.478,0.39502
0.722,6.7518,0.0,0.0,0.0,1,0.333371,0.0144321,0.0,942.478,0.433105
0.742,7.09678,0.0,0.0,0.0,1,0.333298,0.0150444,0.0,942.478,0.473145
0.762,7.42976,0.0,0.0,0.0,1,0.333218,0.0155665,0.0,942.478,0.515015
0.782,7.77116,0.0,0.0,0.0,1,0.333132,0.0162513,0.0,982.95,0.558838
